Zeit,Tempa,Tempb,Tempc,KMD1,KMD2,KMD1kompensiert,KMD2kompensiert,Temperatur aussen,EH11,EV12,EH21,EV22,EV32,EV33,W12,W22,VH31,W32,W11,W21,EH31,Zeit_timestamp,EH13,EH22,EH32,EH33,EV11,EV31,VH12,VH13,VH22,VH32,VH33,W13,W23,W33
2021-12-05,10.708265416666668,6.770512083333333,,,,,,2.194236111111111,-40.418528429221624,-42.456539702451664,-66.31634643584448,-55.5825148927438,-54.32769266113155,-88.84649341538216,-24.443379996045906,-56.45726026097327,-230.95308809015387,-1059.2297871500577,-45.70033407522715,-157.18281753113888,-92.59283646500535,1638662400.0,,165.10526315789502,-64.02192982456108,90.46491228070136,123.33771929824525,97.49561403508778,81.13596491228145,86.75877192982443,34.67982456140362,73.57017543859638,76.16666666666697,68.61403508771855,,88.14912280701719
2021-12-12,11.586697380952382,6.2206746428571424,,,,,,0.8875793650793652,-41.0993354133484,-43.94263855165764,-65.88482629695591,-65.204063126871,-64.9151247643058,-101.36630440744511,-330.68018563096666,-57.50319264192558,-219.02303749491603,-937.7928996500577,-54.90388810300465,-269.9439484239956,-101.2042478935773,1639267200.0,,144.4736842105267,-50.39035087719276,92.6754385964905,131.81140350877195,103.021929824562,91.82017543859638,68.70614035087738,32.10087719298281,83.1491228070181,90.16666666666697,78.92982456140317,,96.25438596491222
2021-12-19,11.754283928571429,5.5205738095238095,,,,,,0.6590277777777778,-37.097665929220966,-40.65236125007095,-64.07216125727336,-61.7865564998865,-59.75721361351225,-93.3026310344294,-629.988231186522,-55.019530022877916,-253.5626304711068,-662.994067388152,-39.66851306332228,-353.3380184239959,-105.55439063167205,1639872000.0,,123.84210526315837,-36.758771929824434,94.88596491228054,140.28508771929864,108.5482456140353,102.50438596491222,50.653508771929864,29.521929824561084,92.72807017543892,104.16666666666697,89.24561403508733,,104.35964912280724
2021-12-26,11.700520000000001,5.3454619999999995,,,,,,-0.794951048951049,-35.887601112593075,-39.647118583181964,-62.262819289185245,-57.38030119558016,-53.803326140540776,-86.94374033340819,-569.6533342509022,-58.28795424698728,-254.49978215076044,-584.3928000439973,-37.888438205957755,-449.24624990584744,-106.85435454425988,1640476800.0,,110.73333333333358,-36.729629629629926,87.26851851851825,117.68148148148157,102.59444444444489,98.95925925925985,-3.498148148148175,14.111111111111313,80.27407407407463,99.30740740740748,85.99814814814772,71.59999999999991,101.53333333333376
2022-01-02,,,,,,,,,,,,,,,,,,,,,,1641081600.0,,99.53333333333376,-40.15185185185146,77.15740740740694,87.19259259259252,93.7277777777781,91.80370370370383,-66.8092592592593,-4.555555555555657,62.229629629629926,89.66296296296332,79.30925925925885,54.80000000000018,95.9333333333334
2022-01-09,,,,,,,,,,,,,,,,,,,,,,1641686400.0,,88.33333333333394,-43.574074074073906,67.04629629629562,56.70370370370347,84.86111111111131,84.64814814814872,-130.12037037037044,-23.222222222222626,44.18518518518522,80.01851851851825,72.62037037036998,38.0,90.33333333333303
2022-01-16,,,,,,,,,,,,,,,,,,,,,,1642291200.0,,77.13333333333321,-46.99629629629635,56.93518518518522,26.214814814814417,75.99444444444453,77.4925925925927,-193.43148148148157,-41.88888888888869,26.14074074074142,70.37407407407409,65.93148148148157,21.199999999999818,84.73333333333358
2022-01-23,,,,,,,,,,,,,,,,,,,,,,1642896000.0,,65.9333333333334,-50.418518518518795,46.824074074073906,-4.274074074073724,67.12777777777774,70.33703703703759,-256.7425925925927,-60.55555555555566,8.096296296296714,60.729629629629926,59.2425925925927,4.400000000000091,79.13333333333321
2022-01-30,,,,,,,,,,,,,,,,,,,,,,1643500800.0,,54.733333333333576,-53.84074074074033,36.71296296296259,-34.762962962962774,58.26111111111186,63.18148148148157,-320.05370370370383,-79.22222222222263,-9.948148148147993,51.085185185184855,52.55370370370383,-12.400000000000091,73.53333333333376
2022-02-06,9.611843604651163,4.493088720930232,4.4374444186046516,,,,,4.011802325581395,-16.02571324188284,-6.98821810684467,-159.98881194295018,-347.20526837788566,-36.49303524511015,-85.10607116086021,518.0267856111893,-167.88594828422947,-15.905619446743458,-827.406099921378,-3.4712947761313444,-362.0620708547822,-137.37437638748634,1644105600.0,191.41666666666652,90.72222222222263,-69.34722222222263,-25.638888888889596,-252.91666666666697,13.486111111111313,59.95833333333394,-415.1111111111113,-100.04166666666697,-56.63888888888869,59.63888888888869,46.18055555555566,-22.138888888888687,45.45833333333303
2022-02-13,9.823790727272726,4.684621757575758,3.5009098787878785,96.28702684210526,79.47394850877193,60.086312280701755,42.29625859649123,3.1495886134067947,39.35601638941989,-96.00218676443501,-173.1091967827224,-339.21749007938297,-32.99086704864203,-189.95336174458316,956.2193100315023,-177.77996942718073,-76.68882319759223,-1075.054160290094,2.0332944906590456,-521.955314829348,-148.45954433644738,1644710400.0,-405.1441441441443,153.76801801801867,-77.99324324324334,-95.88963963964034,-499.63288288288277,-33.975225225224676,64.76576576576645,-474.5382882882882,-35.29729729729752,-104.0112612612611,80.93693693693695,46.23873873873799,-11.799549549549738,12.225225225225586
